name;job;cpf;country;date
Cauã Gomes;Servente-de-obras;827.915.643-73;São Cristóvão e Neves;13-08-2005
Rebeca Barbosa;Astrônomo;783.102.649-50;Irlanda;04-02-1971
Ana Julia Pereira;Engenheiro sanitarista;283.940.761-22;Man, Isle of;12-01-2023
Luigi da Mata;Encarregado de manutenção predial;635.720.491-99;Itália;06-04-1970
Alexandre Melo;Administrador de redes;843.125.069-06;Coral Sea Islands;28-05-1983
Ana Júlia Campos;Jogador de futebol;208.519.346-33;Angola;19-06-1993
Stella Barbosa;Ginecologista;790.235.148-23;Coreia do Norte;08-09-2018
Ana Lívia Costela;Enólogo;823.615.790-30;Vanuatu;01-05-1986
Dr. Anthony Mendes;Remador;397.645.821-09;Paquistão;26-12-1983
Srta. Cecília Souza;Zelador;857.260.491-01;Países Baixos;24-05-2013
Gabriel Jesus;Cobrador de ônibus;904.821.653-24;Chipre;22-08-1999
Isabella Porto;Filósofo;170.596.243-25;Jibuti;01-11-1977
Kevin Correia;Paparazzo;482.370.519-04;Singapura;25-01-1999
Gabriel da Rocha;Clap loader;165.032.478-26;Coral Sea Islands;01-08-2020
Cecília Nascimento;Baixista;415.983.072-23;Barein;27-07-1982
Sr. Isaac da Luz;Assistente administrativo;172.408.365-17;Suazilândia;02-08-1984
Lorenzo Campos;Pediatra;065.342.187-71;Bolívia;04-10-2020
Dra. Ana Clara da Mata;Projetista mecânico;514.287.369-64;Timor Leste;11-01-1993
Vitor Hugo Caldeira;Jangadeiro;280.597.613-40;Togo;07-09-2015
Sr. Danilo Viana;Guia turistico;785.391.604-39;Macau;24-12-2000
Heitor Nogueira;Endodontista;315.682.740-17;Bermudas;20-07-1992
Sr. Kevin Nascimento;Montador de negativos;706.183.945-75;Gâmbia;09-02-1974
Luigi Silva;Serventuário;493.625.071-61;Ilhas Marshall;26-09-1990
Marina Monteiro;Astrônomo;701.928.356-02;Líbia;06-06-1985
Otávio Nascimento;Turismólogo;542.198.076-67;Ilhas Falkland;12-07-2008
Evelyn Almeida;Obstetra;301.684.972-04;Zimbabué;22-01-2004
Dra. Luana Pires;Síndico;925.403.178-04;Mali;31-07-2008
Enzo das Neves;Limpador de vidros;193.574.280-97;Wallis e Futuna;22-11-1989
Dr. Theo Almeida;Artesão;749.512.803-88;Quiribáti;22-06-2021
Bernardo Nunes;Motorista;724.695.138-55;Ilha do Natal;06-06-2005
Manuela Lopes;Confeiteiro;038.672.415-62;Japão;25-08-1994
Dr. Pietro Vieira;Portuário;579.862.041-76;Etiópia;21-02-1979
Lorena Caldeira;Entalhador;210.368.795-77;Luxemburgo;11-03-2000
Lavínia Fernandes;Zootecnista;612.058.493-51;Turquia;07-08-2000
João Felipe Pereira;Engenheiro cartográfico;657.301.842-71;Uganda;30-07-2017
Letícia Pinto;Geógrafo;628.075.193-77;Polônia;28-07-2021
Lucca Pires;Especialista em agronegócios;069.258.371-86;Jamaica;27-05-1980
Joaquim Silveira;Coach;539.218.760-95;Montenegro;11-05-2010
Carlos Eduardo Jesus;Militar da Marinha;251.860.349-24;Seicheles;15-03-1993
Sophia Nunes;Lanterneiro;359.206.148-89;Mongólia;26-01-1993
Marcelo da Paz;Engenheiro de iluminação;861.402.937-31;Paquistão;24-02-1977
Maria Clara Fogaça;Fisioterapeuta;270.518.469-49;Egito;02-08-1982
Sra. Cecília das Neves;Maestro;145.326.807-35;Índia;27-06-1993
Caio Caldeira;Mecânico de vôo;840.351.269-42;Argélia;20-12-2014
Maria Sophia Dias;Psicopedagogo;243.065.718-07;Ilhas Turcas e Caicos;17-12-1974
Isabel da Conceição;Açougueiro;214.035.968-24;Espanha;24-09-1987
Miguel Rocha;Otorrinolaringologista;659.184.703-01;Iran;07-12-1981
Caio Moraes;Regente;846.025.791-67;Tuvalu;18-08-1981
Isabella Azevedo;Cenotécnico;452.610.897-94;Serra Leoa;31-12-1971
Júlia Lopes;Agricultor;042.579.138-60;Gâmbia;06-04-2014
Bernardo da Cruz;Engenheiro de projetos;593.674.218-00;Cabo Verde;11-01-1989
Vitor Ribeiro;Babysitter;362.850.194-60;Jan Mayen;14-08-1972
Nina Sales;Pescador;185.746.092-85;Ilhas Turcas e Caicos;16-11-2008
Ana Clara Fogaça;Guia turistico;049.862.517-67;Sara Ocidental;28-11-1993
Nathan Carvalho;Bóia-fria;169.057.482-85;Palau;17-07-1999
Dr. Paulo Jesus;Cinematográfo;285.643.709-56;Turquia;15-08-1991
Daniela Melo;Auxiliar administrativo;719.642.358-55;Jan Mayen;21-05-1987
Fernanda Pinto;Representante comercial;281.509.374-04;Serra Leoa;09-05-1978
Emilly Cunha;Estoquista;376.849.051-39;Maurícia;31-05-2005
Dr. Luiz Henrique Correia;Carteiro;265.730.981-02;Mongólia;22-02-1994
Thiago Lopes;Motorista;092.735.846-83;Gana;10-01-2009
Isabella das Neves;Carpinteiro;179.268.035-02;Catar;31-07-2003
Fernando Cunha;Cenotécnico;165.498.230-05;Seicheles;24-02-2018
Maria Fernanda Monteiro;Escritor;314.609.278-69;São Cristóvão e Neves;08-01-1982
Maria Sophia Moraes;Diretor de produção;569.318.274-64;Equador;28-07-2010
Maria Cecília Pereira;Endodontista;503.219.864-15;Equador;08-07-1972
Alexia Caldeira;Quiropraxista;184.937.025-79;Ilhas Caiman;04-08-2016
Nicole Pereira;Engenheiro de energia;132.795.068-59;Estônia;09-12-2016
Rafael Moreira;Servente-de-obras;160.758.923-03;Emirados Árabes Unidos;07-05-2008
Thiago das Neves;Flautista;179.263.405-61;Togo;03-07-2022
Natália da Mota;Engenheiro físico;495.023.817-50;Jordânia;12-03-1998
Sophia Moraes;Chaveiro;916.782.043-31;Belize;13-03-2001
Sophie Silveira;Lutador de jiu-jitsu;604.713.829-22;Níger;11-10-1998
Otávio Melo;Contramestre em transporte marítimo;807.651.942-01;Tonga;07-10-2016
Luiz Miguel Rezende;Urbanista;712.384.695-82;Burquina Faso;24-07-1973
Letícia Monteiro;Escoteiro;165.023.894-06;Tajiquistão;08-12-1985
Sr. Felipe Nogueira;Remador;695.127.304-99;Faroé;10-09-2022
Luiz Miguel Monteiro;Engenheiro petroquímico;396.084.257-00;Nova Caledónia;17-10-2011
Dr. Matheus Teixeira;Oculista;193.856.407-39;Kuwait;25-08-2004
Brenda Fernandes;Comprador;209.835.714-14;Uganda;06-12-2005
Luigi Araújo;Guia turistico;917.025.468-02;Azerbaijão;10-10-1993
Levi Martins;Analista de sistemas;359.081.724-05;Senegal;28-06-1990
Dr. Alexandre da Mata;Boticário;024.751.839-50;Dinamarca;28-12-2010
Luiz Otávio Rezende;Profissional de reciclagem;805.732.916-59;Territórios Austrais Franceses;13-08-2010
Dr. Davi Campos;Vereador;592.036.847-00;Costa do Marfim;08-12-1988
Carolina Carvalho;Mecânico;642.190.537-43;São Cristóvão e Neves;17-06-2002
Amanda Rezende;Agricultor;017.648.295-49;Dinamarca;12-01-1988
Evelyn Caldeira;Perito judicial;960.483.127-50;Afeganistão;24-09-1997
Bárbara das Neves;Massoterapeuta;270.615.983-95;Aruba;01-12-1986
Luiz Henrique da Mata;Baterista;160.854.327-71;Brunei;15-08-1970
Carolina Gomes;Roteirista;628.509.341-51;Islândia;23-07-2003
Helena Mendes;Apresentador;579.863.120-68;Geórgia do Sul e Sandwich do Sul;08-06-2013
Melissa Nogueira;Médico nuclear;741.602.853-17;Portugal;24-08-1999
Dra. Maria Clara da Paz;Peão de rodeiro;047.186.532-07;Mali;22-08-2007
Dr. Luiz Otávio Costa;Projetista mecânico;673.905.124-07;Indonésia;07-05-2014
Diogo Nogueira;Instrumentista musical;526.371.490-43;Laos;03-10-2004
Mirella Silva;Maestro;634.021.597-16;Colômbia;19-02-2017
Gabriela Fernandes;Profissional de relações públicas;361.082.459-05;Kuwait;03-01-1988
Lara Silveira;Panificador/Padeiro;203.869.517-21;Barein;24-05-1972
Felipe Cardoso;Juiz de direito;954.723.810-88;Rússia;06-05-1986
